lsoa_code,n_oas,population_density,population_density_median,population_density_min,population_density_max,population_density_sd
E01000842,0,NA,NA,NA,NA,NA
E01000843,0,NA,NA,NA,NA,NA
E01000844,0,NA,NA,NA,NA,NA
E01000845,0,NA,NA,NA,NA,NA
E01000846,0,NA,NA,NA,NA,NA
E01000847,0,NA,NA,NA,NA,NA
E01000848,0,NA,NA,NA,NA,NA
E01000849,0,NA,NA,NA,NA,NA
E01000850,0,NA,NA,NA,NA,NA
E01000851,0,NA,NA,NA,NA,NA
E01000852,0,NA,NA,NA,NA,NA
E01000853,0,NA,NA,NA,NA,NA
E01000854,0,NA,NA,NA,NA,NA
E01000855,0,NA,NA,NA,NA,NA
E01000856,0,NA,NA,NA,NA,NA
E01000857,0,NA,NA,NA,NA,NA
E01000858,0,NA,NA,NA,NA,NA
E01000859,0,NA,NA,NA,NA,NA
E01000860,0,NA,NA,NA,NA,NA
E01000861,0,NA,NA,NA,NA,NA
E01000862,0,NA,NA,NA,NA,NA
E01000863,0,NA,NA,NA,NA,NA
E01000864,0,NA,NA,NA,NA,NA
E01000865,0,NA,NA,NA,NA,NA
E01000866,0,NA,NA,NA,NA,NA
E01000867,0,NA,NA,NA,NA,NA
E01000868,0,NA,NA,NA,NA,NA
E01000869,0,NA,NA,NA,NA,NA
E01000870,0,NA,NA,NA,NA,NA
E01000871,0,NA,NA,NA,NA,NA
E01000872,0,NA,NA,NA,NA,NA
E01000873,0,NA,NA,NA,NA,NA
E01000874,0,NA,NA,NA,NA,NA
E01000875,0,NA,NA,NA,NA,NA
E01000876,0,NA,NA,NA,NA,NA
E01000877,0,NA,NA,NA,NA,NA
E01000878,0,NA,NA,NA,NA,NA
E01000879,0,NA,NA,NA,NA,NA
E01000880,0,NA,NA,NA,NA,NA
E01000881,0,NA,NA,NA,NA,NA
E01000882,0,NA,NA,NA,NA,NA
E01000883,0,NA,NA,NA,NA,NA
E01000884,0,NA,NA,NA,NA,NA
E01000885,0,NA,NA,NA,NA,NA
E01000886,0,NA,NA,NA,NA,NA
E01000887,0,NA,NA,NA,NA,NA
E01000888,0,NA,NA,NA,NA,NA
E01000889,0,NA,NA,NA,NA,NA
E01000890,0,NA,NA,NA,NA,NA
E01000891,0,NA,NA,NA,NA,NA
E01000892,0,NA,NA,NA,NA,NA
E01000893,0,NA,NA,NA,NA,NA
E01000894,0,NA,NA,NA,NA,NA
E01000895,0,NA,NA,NA,NA,NA
E01000896,0,NA,NA,NA,NA,NA
E01000897,0,NA,NA,NA,NA,NA
E01000898,0,NA,NA,NA,NA,NA
E01000899,0,NA,NA,NA,NA,NA
E01000900,0,NA,NA,NA,NA,NA
E01000901,0,NA,NA,NA,NA,NA
E01000902,0,NA,NA,NA,NA,NA
E01000903,0,NA,NA,NA,NA,NA
E01000904,0,NA,NA,NA,NA,NA
E01000905,0,NA,NA,NA,NA,NA
E01000906,0,NA,NA,NA,NA,NA
E01000907,0,NA,NA,NA,NA,NA
E01000908,0,NA,NA,NA,NA,NA
E01000909,0,NA,NA,NA,NA,NA
E01000910,0,NA,NA,NA,NA,NA
E01000911,0,NA,NA,NA,NA,NA
E01000912,0,NA,NA,NA,NA,NA
E01000913,0,NA,NA,NA,NA,NA
E01000914,0,NA,NA,NA,NA,NA
E01000915,0,NA,NA,NA,NA,NA
E01000916,0,NA,NA,NA,NA,NA
E01000917,0,NA,NA,NA,NA,NA
E01000918,0,NA,NA,NA,NA,NA
E01000919,0,NA,NA,NA,NA,NA
E01000920,0,NA,NA,NA,NA,NA
E01000921,0,NA,NA,NA,NA,NA
E01000922,0,NA,NA,NA,NA,NA
E01000923,0,NA,NA,NA,NA,NA
E01000924,0,NA,NA,NA,NA,NA
E01000925,0,NA,NA,NA,NA,NA
E01000926,0,NA,NA,NA,NA,NA
E01000927,0,NA,NA,NA,NA,NA
E01000928,0,NA,NA,NA,NA,NA
E01000929,0,NA,NA,NA,NA,NA
E01000930,0,NA,NA,NA,NA,NA
E01000931,0,NA,NA,NA,NA,NA
E01000932,0,NA,NA,NA,NA,NA
E01000933,0,NA,NA,NA,NA,NA
E01000934,0,NA,NA,NA,NA,NA
E01000935,0,NA,NA,NA,NA,NA
E01000936,0,NA,NA,NA,NA,NA
E01000937,0,NA,NA,NA,NA,NA
E01000938,0,NA,NA,NA,NA,NA
E01000939,0,NA,NA,NA,NA,NA
E01000940,0,NA,NA,NA,NA,NA
E01000941,0,NA,NA,NA,NA,NA
E01000942,0,NA,NA,NA,NA,NA
E01000943,0,NA,NA,NA,NA,NA
E01000944,0,NA,NA,NA,NA,NA
E01000945,0,NA,NA,NA,NA,NA
E01000946,0,NA,NA,NA,NA,NA
E01000947,0,NA,NA,NA,NA,NA
E01000948,0,NA,NA,NA,NA,NA
E01000949,0,NA,NA,NA,NA,NA
E01000950,0,NA,NA,NA,NA,NA
E01000951,0,NA,NA,NA,NA,NA
E01000952,0,NA,NA,NA,NA,NA
E01000953,0,NA,NA,NA,NA,NA
E01000954,0,NA,NA,NA,NA,NA
E01000955,0,NA,NA,NA,NA,NA
E01000956,0,NA,NA,NA,NA,NA
E01000957,0,NA,NA,NA,NA,NA
E01000958,0,NA,NA,NA,NA,NA
E01000959,0,NA,NA,NA,NA,NA
E01000960,0,NA,NA,NA,NA,NA
E01000961,0,NA,NA,NA,NA,NA
E01000962,0,NA,NA,NA,NA,NA
E01000963,0,NA,NA,NA,NA,NA
E01000964,0,NA,NA,NA,NA,NA
E01000965,0,NA,NA,NA,NA,NA
E01000966,0,NA,NA,NA,NA,NA
E01000967,0,NA,NA,NA,NA,NA
E01000968,0,NA,NA,NA,NA,NA
E01000969,0,NA,NA,NA,NA,NA
E01000970,0,NA,NA,NA,NA,NA
E01000971,0,NA,NA,NA,NA,NA
E01000972,0,NA,NA,NA,NA,NA
E01000973,0,NA,NA,NA,NA,NA
E01000974,0,NA,NA,NA,NA,NA
E01001571,0,NA,NA,NA,NA,NA
E01001572,0,NA,NA,NA,NA,NA
E01001573,0,NA,NA,NA,NA,NA
E01001574,0,NA,NA,NA,NA,NA
E01001575,0,NA,NA,NA,NA,NA
E01001576,0,NA,NA,NA,NA,NA
E01001577,0,NA,NA,NA,NA,NA
E01001578,0,NA,NA,NA,NA,NA
E01001579,0,NA,NA,NA,NA,NA
E01001580,0,NA,NA,NA,NA,NA
E01001581,0,NA,NA,NA,NA,NA
E01001582,0,NA,NA,NA,NA,NA
E01001583,0,NA,NA,NA,NA,NA
E01001584,0,NA,NA,NA,NA,NA
E01001585,0,NA,NA,NA,NA,NA
E01001586,0,NA,NA,NA,NA,NA
E01001587,0,NA,NA,NA,NA,NA
E01001588,0,NA,NA,NA,NA,NA
E01001589,0,NA,NA,NA,NA,NA
E01001590,0,NA,NA,NA,NA,NA
E01001591,0,NA,NA,NA,NA,NA
E01001592,0,NA,NA,NA,NA,NA
E01001593,0,NA,NA,NA,NA,NA
E01001594,0,NA,NA,NA,NA,NA
E01001595,0,NA,NA,NA,NA,NA
E01001596,0,NA,NA,NA,NA,NA
E01001597,0,NA,NA,NA,NA,NA
E01001598,0,NA,NA,NA,NA,NA
E01001599,0,NA,NA,NA,NA,NA
E01001600,0,NA,NA,NA,NA,NA
E01001601,0,NA,NA,NA,NA,NA
E01001602,0,NA,NA,NA,NA,NA
E01001603,0,NA,NA,NA,NA,NA
E01001604,0,NA,NA,NA,NA,NA
E01001605,0,NA,NA,NA,NA,NA
E01001606,0,NA,NA,NA,NA,NA
E01001607,0,NA,NA,NA,NA,NA
E01001608,0,NA,NA,NA,NA,NA
E01001609,0,NA,NA,NA,NA,NA
E01001610,0,NA,NA,NA,NA,NA
E01001611,0,NA,NA,NA,NA,NA
E01001613,0,NA,NA,NA,NA,NA
E01001614,0,NA,NA,NA,NA,NA
E01001615,0,NA,NA,NA,NA,NA
E01001617,0,NA,NA,NA,NA,NA
E01001618,0,NA,NA,NA,NA,NA
E01001619,0,NA,NA,NA,NA,NA
E01001620,0,NA,NA,NA,NA,NA
E01001621,0,NA,NA,NA,NA,NA
E01001623,0,NA,NA,NA,NA,NA
E01001624,0,NA,NA,NA,NA,NA
E01001625,0,NA,NA,NA,NA,NA
E01001629,0,NA,NA,NA,NA,NA
E01001631,0,NA,NA,NA,NA,NA
E01001632,0,NA,NA,NA,NA,NA
E01001633,0,NA,NA,NA,NA,NA
E01001634,0,NA,NA,NA,NA,NA
E01001635,0,NA,NA,NA,NA,NA
E01001636,0,NA,NA,NA,NA,NA
E01001637,0,NA,NA,NA,NA,NA
E01001638,0,NA,NA,NA,NA,NA
E01001640,0,NA,NA,NA,NA,NA
E01001641,0,NA,NA,NA,NA,NA
E01001642,0,NA,NA,NA,NA,NA
E01001644,0,NA,NA,NA,NA,NA
E01001645,0,NA,NA,NA,NA,NA
E01001646,0,NA,NA,NA,NA,NA
E01001647,0,NA,NA,NA,NA,NA
E01001648,0,NA,NA,NA,NA,NA
E01001649,0,NA,NA,NA,NA,NA
E01001650,0,NA,NA,NA,NA,NA
E01001651,0,NA,NA,NA,NA,NA
E01001652,0,NA,NA,NA,NA,NA
E01001653,0,NA,NA,NA,NA,NA
E01001654,0,NA,NA,NA,NA,NA
E01001655,0,NA,NA,NA,NA,NA
E01001656,0,NA,NA,NA,NA,NA
E01001657,0,NA,NA,NA,NA,NA
E01001658,0,NA,NA,NA,NA,NA
E01001659,0,NA,NA,NA,NA,NA
E01001660,0,NA,NA,NA,NA,NA
E01001661,0,NA,NA,NA,NA,NA
E01001662,0,NA,NA,NA,NA,NA
E01001664,0,NA,NA,NA,NA,NA
E01001665,0,NA,NA,NA,NA,NA
E01001666,0,NA,NA,NA,NA,NA
E01001667,0,NA,NA,NA,NA,NA
E01001668,0,NA,NA,NA,NA,NA
E01001669,0,NA,NA,NA,NA,NA
E01001671,0,NA,NA,NA,NA,NA
E01001672,0,NA,NA,NA,NA,NA
E01001673,0,NA,NA,NA,NA,NA
E01001674,0,NA,NA,NA,NA,NA
E01001675,0,NA,NA,NA,NA,NA
E01001676,0,NA,NA,NA,NA,NA
E01001677,0,NA,NA,NA,NA,NA
E01001678,0,NA,NA,NA,NA,NA
E01001679,0,NA,NA,NA,NA,NA
E01001680,0,NA,NA,NA,NA,NA
E01001681,0,NA,NA,NA,NA,NA
E01001682,0,NA,NA,NA,NA,NA
E01001683,0,NA,NA,NA,NA,NA
E01001684,0,NA,NA,NA,NA,NA
E01001685,0,NA,NA,NA,NA,NA
E01001686,0,NA,NA,NA,NA,NA
E01001687,0,NA,NA,NA,NA,NA
E01001688,0,NA,NA,NA,NA,NA
E01001690,0,NA,NA,NA,NA,NA
E01001692,0,NA,NA,NA,NA,NA
E01001693,0,NA,NA,NA,NA,NA
E01001694,0,NA,NA,NA,NA,NA
E01001695,0,NA,NA,NA,NA,NA
E01001696,0,NA,NA,NA,NA,NA
E01001697,0,NA,NA,NA,NA,NA
E01001698,0,NA,NA,NA,NA,NA
E01001699,0,NA,NA,NA,NA,NA
E01001700,0,NA,NA,NA,NA,NA
E01001701,0,NA,NA,NA,NA,NA
E01001702,0,NA,NA,NA,NA,NA
E01001703,0,NA,NA,NA,NA,NA
E01001704,0,NA,NA,NA,NA,NA
E01001705,0,NA,NA,NA,NA,NA
E01001706,0,NA,NA,NA,NA,NA
E01001708,0,NA,NA,NA,NA,NA
E01001709,0,NA,NA,NA,NA,NA
E01001710,0,NA,NA,NA,NA,NA
E01001711,0,NA,NA,NA,NA,NA
E01001712,0,NA,NA,NA,NA,NA
E01001713,0,NA,NA,NA,NA,NA
E01001714,0,NA,NA,NA,NA,NA
E01001715,0,NA,NA,NA,NA,NA
E01001716,0,NA,NA,NA,NA,NA
E01001717,0,NA,NA,NA,NA,NA
E01001718,0,NA,NA,NA,NA,NA
E01001719,0,NA,NA,NA,NA,NA
E01001720,0,NA,NA,NA,NA,NA
E01001722,0,NA,NA,NA,NA,NA
E01001723,0,NA,NA,NA,NA,NA
E01001724,0,NA,NA,NA,NA,NA
E01001725,0,NA,NA,NA,NA,NA
E01001726,0,NA,NA,NA,NA,NA
E01001727,0,NA,NA,NA,NA,NA
E01001728,0,NA,NA,NA,NA,NA
E01001729,0,NA,NA,NA,NA,NA
E01001730,0,NA,NA,NA,NA,NA
E01001731,0,NA,NA,NA,NA,NA
E01001732,0,NA,NA,NA,NA,NA
E01001733,0,NA,NA,NA,NA,NA
E01001734,0,NA,NA,NA,NA,NA
E01001735,0,NA,NA,NA,NA,NA
E01001736,0,NA,NA,NA,NA,NA
E01001737,0,NA,NA,NA,NA,NA
E01001738,0,NA,NA,NA,NA,NA
E01001739,0,NA,NA,NA,NA,NA
E01001740,0,NA,NA,NA,NA,NA
E01001741,0,NA,NA,NA,NA,NA
E01001742,0,NA,NA,NA,NA,NA
E01001744,0,NA,NA,NA,NA,NA
E01001745,0,NA,NA,NA,NA,NA
E01001746,0,NA,NA,NA,NA,NA
E01001747,0,NA,NA,NA,NA,NA
E01001748,0,NA,NA,NA,NA,NA
E01001749,0,NA,NA,NA,NA,NA
E01001750,0,NA,NA,NA,NA,NA
E01001751,0,NA,NA,NA,NA,NA
E01001752,0,NA,NA,NA,NA,NA
E01001753,0,NA,NA,NA,NA,NA
E01001754,0,NA,NA,NA,NA,NA
E01001755,0,NA,NA,NA,NA,NA
E01001756,0,NA,NA,NA,NA,NA
E01001757,0,NA,NA,NA,NA,NA
E01001758,0,NA,NA,NA,NA,NA
E01001759,0,NA,NA,NA,NA,NA
E01001760,0,NA,NA,NA,NA,NA
E01001761,0,NA,NA,NA,NA,NA
E01001762,0,NA,NA,NA,NA,NA
E01001763,0,NA,NA,NA,NA,NA
E01001764,0,NA,NA,NA,NA,NA
E01001765,0,NA,NA,NA,NA,NA
E01001767,0,NA,NA,NA,NA,NA
E01001768,0,NA,NA,NA,NA,NA
E01001769,0,NA,NA,NA,NA,NA
E01001770,0,NA,NA,NA,NA,NA
E01001772,0,NA,NA,NA,NA,NA
E01001773,0,NA,NA,NA,NA,NA
E01001774,0,NA,NA,NA,NA,NA
E01001775,0,NA,NA,NA,NA,NA
E01001776,0,NA,NA,NA,NA,NA
E01001777,0,NA,NA,NA,NA,NA
E01001779,0,NA,NA,NA,NA,NA
E01001780,0,NA,NA,NA,NA,NA
E01001781,0,NA,NA,NA,NA,NA
E01001782,0,NA,NA,NA,NA,NA
E01001783,0,NA,NA,NA,NA,NA
E01001784,0,NA,NA,NA,NA,NA
E01001785,0,NA,NA,NA,NA,NA
E01001786,0,NA,NA,NA,NA,NA
E01001787,0,NA,NA,NA,NA,NA
E01001788,0,NA,NA,NA,NA,NA
E01001789,0,NA,NA,NA,NA,NA
E01001790,0,NA,NA,NA,NA,NA
E01001791,0,NA,NA,NA,NA,NA
E01001792,0,NA,NA,NA,NA,NA
E01001793,0,NA,NA,NA,NA,NA
E01001794,0,NA,NA,NA,NA,NA
E01001795,0,NA,NA,NA,NA,NA
E01001796,0,NA,NA,NA,NA,NA
E01001798,0,NA,NA,NA,NA,NA
E01001799,0,NA,NA,NA,NA,NA
E01001800,0,NA,NA,NA,NA,NA
E01001801,0,NA,NA,NA,NA,NA
E01001802,0,NA,NA,NA,NA,NA
E01001803,0,NA,NA,NA,NA,NA
E01001804,0,NA,NA,NA,NA,NA
E01001805,0,NA,NA,NA,NA,NA
E01001806,0,NA,NA,NA,NA,NA
E01001807,0,NA,NA,NA,NA,NA
E01001808,0,NA,NA,NA,NA,NA
E01001809,0,NA,NA,NA,NA,NA
E01001811,0,NA,NA,NA,NA,NA
E01001812,0,NA,NA,NA,NA,NA
E01001813,0,NA,NA,NA,NA,NA
E01001814,0,NA,NA,NA,NA,NA
E01001815,0,NA,NA,NA,NA,NA
E01001816,0,NA,NA,NA,NA,NA
E01001819,0,NA,NA,NA,NA,NA
E01001820,0,NA,NA,NA,NA,NA
E01001821,0,NA,NA,NA,NA,NA
E01001822,0,NA,NA,NA,NA,NA
E01001823,0,NA,NA,NA,NA,NA
E01001824,0,NA,NA,NA,NA,NA
E01001825,0,NA,NA,NA,NA,NA
E01001826,0,NA,NA,NA,NA,NA
E01001827,0,NA,NA,NA,NA,NA
E01001828,0,NA,NA,NA,NA,NA
E01001829,0,NA,NA,NA,NA,NA
E01001830,0,NA,NA,NA,NA,NA
E01001831,0,NA,NA,NA,NA,NA
E01001832,0,NA,NA,NA,NA,NA
E01001833,0,NA,NA,NA,NA,NA
E01001834,0,NA,NA,NA,NA,NA
E01001835,0,NA,NA,NA,NA,NA
E01001836,0,NA,NA,NA,NA,NA
E01001837,0,NA,NA,NA,NA,NA
E01001838,0,NA,NA,NA,NA,NA
E01001839,0,NA,NA,NA,NA,NA
E01001840,0,NA,NA,NA,NA,NA
E01001841,0,NA,NA,NA,NA,NA
E01001842,0,NA,NA,NA,NA,NA
E01001843,0,NA,NA,NA,NA,NA
E01001844,0,NA,NA,NA,NA,NA
E01001845,0,NA,NA,NA,NA,NA
E01001846,0,NA,NA,NA,NA,NA
E01001847,0,NA,NA,NA,NA,NA
E01001848,0,NA,NA,NA,NA,NA
E01001849,0,NA,NA,NA,NA,NA
E01001850,0,NA,NA,NA,NA,NA
E01001851,0,NA,NA,NA,NA,NA
E01001852,0,NA,NA,NA,NA,NA
E01001853,0,NA,NA,NA,NA,NA
E01001854,0,NA,NA,NA,NA,NA
E01001855,0,NA,NA,NA,NA,NA
E01001856,0,NA,NA,NA,NA,NA
E01001857,0,NA,NA,NA,NA,NA
E01001858,0,NA,NA,NA,NA,NA
E01001859,0,NA,NA,NA,NA,NA
E01001860,0,NA,NA,NA,NA,NA
E01001861,0,NA,NA,NA,NA,NA
E01001862,0,NA,NA,NA,NA,NA
E01001863,0,NA,NA,NA,NA,NA
E01001864,0,NA,NA,NA,NA,NA
E01001865,0,NA,NA,NA,NA,NA
E01001866,0,NA,NA,NA,NA,NA
E01001867,0,NA,NA,NA,NA,NA
E01001868,0,NA,NA,NA,NA,NA
E01001869,0,NA,NA,NA,NA,NA
E01001870,0,NA,NA,NA,NA,NA
E01001871,0,NA,NA,NA,NA,NA
E01001872,0,NA,NA,NA,NA,NA
E01001873,0,NA,NA,NA,NA,NA
E01001874,0,NA,NA,NA,NA,NA
E01001875,0,NA,NA,NA,NA,NA
E01001876,0,NA,NA,NA,NA,NA
E01001877,0,NA,NA,NA,NA,NA
E01001878,0,NA,NA,NA,NA,NA
E01001879,0,NA,NA,NA,NA,NA
E01001880,0,NA,NA,NA,NA,NA
E01001881,0,NA,NA,NA,NA,NA
E01001882,0,NA,NA,NA,NA,NA
E01001883,0,NA,NA,NA,NA,NA
E01001884,0,NA,NA,NA,NA,NA
E01001885,0,NA,NA,NA,NA,NA
E01001886,0,NA,NA,NA,NA,NA
E01001887,0,NA,NA,NA,NA,NA
E01001888,0,NA,NA,NA,NA,NA
E01001889,0,NA,NA,NA,NA,NA
E01001890,0,NA,NA,NA,NA,NA
E01001891,0,NA,NA,NA,NA,NA
E01001892,0,NA,NA,NA,NA,NA
E01001893,0,NA,NA,NA,NA,NA
E01001894,0,NA,NA,NA,NA,NA
E01001895,0,NA,NA,NA,NA,NA
E01001896,0,NA,NA,NA,NA,NA
E01001897,0,NA,NA,NA,NA,NA
E01001898,0,NA,NA,NA,NA,NA
E01001899,0,NA,NA,NA,NA,NA
E01001900,0,NA,NA,NA,NA,NA
E01001901,0,NA,NA,NA,NA,NA
E01001902,0,NA,NA,NA,NA,NA
E01001903,0,NA,NA,NA,NA,NA
E01001904,0,NA,NA,NA,NA,NA
E01001905,0,NA,NA,NA,NA,NA
E01001906,0,NA,NA,NA,NA,NA
E01001907,0,NA,NA,NA,NA,NA
E01001908,0,NA,NA,NA,NA,NA
E01001909,0,NA,NA,NA,NA,NA
E01001910,0,NA,NA,NA,NA,NA
E01001911,0,NA,NA,NA,NA,NA
E01001912,0,NA,NA,NA,NA,NA
E01001913,0,NA,NA,NA,NA,NA
E01001914,0,NA,NA,NA,NA,NA
E01001915,0,NA,NA,NA,NA,NA
E01001916,0,NA,NA,NA,NA,NA
E01001917,0,NA,NA,NA,NA,NA
E01001918,0,NA,NA,NA,NA,NA
E01001919,0,NA,NA,NA,NA,NA
E01001920,0,NA,NA,NA,NA,NA
E01001921,0,NA,NA,NA,NA,NA
E01001922,0,NA,NA,NA,NA,NA
E01001923,0,NA,NA,NA,NA,NA
E01001924,0,NA,NA,NA,NA,NA
E01001925,0,NA,NA,NA,NA,NA
E01001926,0,NA,NA,NA,NA,NA
E01001927,0,NA,NA,NA,NA,NA
E01001928,0,NA,NA,NA,NA,NA
E01001929,0,NA,NA,NA,NA,NA
E01001930,0,NA,NA,NA,NA,NA
E01001931,0,NA,NA,NA,NA,NA
E01001932,0,NA,NA,NA,NA,NA
E01001933,0,NA,NA,NA,NA,NA
E01001934,0,NA,NA,NA,NA,NA
E01001935,0,NA,NA,NA,NA,NA
E01001937,0,NA,NA,NA,NA,NA
E01001938,0,NA,NA,NA,NA,NA
E01001939,0,NA,NA,NA,NA,NA
E01001940,0,NA,NA,NA,NA,NA
E01001941,0,NA,NA,NA,NA,NA
E01001942,0,NA,NA,NA,NA,NA
E01001943,0,NA,NA,NA,NA,NA
E01001944,0,NA,NA,NA,NA,NA
E01001945,0,NA,NA,NA,NA,NA
E01001946,0,NA,NA,NA,NA,NA
E01001947,0,NA,NA,NA,NA,NA
E01001948,0,NA,NA,NA,NA,NA
E01001949,0,NA,NA,NA,NA,NA
E01001950,0,NA,NA,NA,NA,NA
E01001951,0,NA,NA,NA,NA,NA
E01001952,0,NA,NA,NA,NA,NA
E01001953,0,NA,NA,NA,NA,NA
E01001954,0,NA,NA,NA,NA,NA
E01001955,0,NA,NA,NA,NA,NA
E01001956,0,NA,NA,NA,NA,NA
E01001957,0,NA,NA,NA,NA,NA
E01001958,0,NA,NA,NA,NA,NA
E01001959,0,NA,NA,NA,NA,NA
E01001960,0,NA,NA,NA,NA,NA
E01001961,0,NA,NA,NA,NA,NA
E01002694,0,NA,NA,NA,NA,NA
E01002695,0,NA,NA,NA,NA,NA
E01002696,0,NA,NA,NA,NA,NA
E01002697,0,NA,NA,NA,NA,NA
E01002698,0,NA,NA,NA,NA,NA
E01002699,0,NA,NA,NA,NA,NA
E01002700,0,NA,NA,NA,NA,NA
E01002701,0,NA,NA,NA,NA,NA
E01002702,0,NA,NA,NA,NA,NA
E01002703,0,NA,NA,NA,NA,NA
E01002704,0,NA,NA,NA,NA,NA
E01002706,0,NA,NA,NA,NA,NA
E01002707,0,NA,NA,NA,NA,NA
E01002708,0,NA,NA,NA,NA,NA
E01002709,0,NA,NA,NA,NA,NA
E01002710,0,NA,NA,NA,NA,NA
E01002711,0,NA,NA,NA,NA,NA
E01002712,0,NA,NA,NA,NA,NA
E01002713,0,NA,NA,NA,NA,NA
E01002714,0,NA,NA,NA,NA,NA
E01002715,0,NA,NA,NA,NA,NA
E01002716,0,NA,NA,NA,NA,NA
E01002717,0,NA,NA,NA,NA,NA
E01002718,0,NA,NA,NA,NA,NA
E01002719,0,NA,NA,NA,NA,NA
E01002720,0,NA,NA,NA,NA,NA
E01002721,0,NA,NA,NA,NA,NA
E01002722,0,NA,NA,NA,NA,NA
E01002723,0,NA,NA,NA,NA,NA
E01002724,0,NA,NA,NA,NA,NA
E01002725,0,NA,NA,NA,NA,NA
E01002726,0,NA,NA,NA,NA,NA
E01002727,0,NA,NA,NA,NA,NA
E01002728,0,NA,NA,NA,NA,NA
E01002729,0,NA,NA,NA,NA,NA
E01002730,0,NA,NA,NA,NA,NA
E01002731,0,NA,NA,NA,NA,NA
E01002732,0,NA,NA,NA,NA,NA
E01002733,0,NA,NA,NA,NA,NA
E01002734,0,NA,NA,NA,NA,NA
E01002735,0,NA,NA,NA,NA,NA
E01002736,0,NA,NA,NA,NA,NA
E01002737,0,NA,NA,NA,NA,NA
E01002738,0,NA,NA,NA,NA,NA
E01002739,0,NA,NA,NA,NA,NA
E01002740,0,NA,NA,NA,NA,NA
E01002741,0,NA,NA,NA,NA,NA
E01002742,0,NA,NA,NA,NA,NA
E01002743,0,NA,NA,NA,NA,NA
E01002744,0,NA,NA,NA,NA,NA
E01002745,0,NA,NA,NA,NA,NA
E01002747,0,NA,NA,NA,NA,NA
E01002748,0,NA,NA,NA,NA,NA
E01002749,0,NA,NA,NA,NA,NA
E01002751,0,NA,NA,NA,NA,NA
E01002752,0,NA,NA,NA,NA,NA
E01002753,0,NA,NA,NA,NA,NA
E01002754,0,NA,NA,NA,NA,NA
E01002755,0,NA,NA,NA,NA,NA
E01002756,0,NA,NA,NA,NA,NA
E01002757,0,NA,NA,NA,NA,NA
E01002758,0,NA,NA,NA,NA,NA
E01002759,0,NA,NA,NA,NA,NA
E01002760,0,NA,NA,NA,NA,NA
E01002762,0,NA,NA,NA,NA,NA
E01002763,0,NA,NA,NA,NA,NA
E01002764,0,NA,NA,NA,NA,NA
E01002765,0,NA,NA,NA,NA,NA
E01002766,0,NA,NA,NA,NA,NA
E01002767,0,NA,NA,NA,NA,NA
E01002768,0,NA,NA,NA,NA,NA
E01002769,0,NA,NA,NA,NA,NA
E01002770,0,NA,NA,NA,NA,NA
