lsoa_code,borough,inner_imd_quintile,mean_gvi,imd_score,cluster,n_images,median_gvi,sd_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,n_deeplearning,n_color,pct_deeplearning,selection_id,selection_label,lsoa_name,deprivation_category,imd_rank,la_code,imd_decile,Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),imd_score_std,mean_gvi_centered,log_gvi,quintile_factor
E01000882,Camden,1,13.51703151067098,4.319,1,100,12.729350725809734,7.023897315658604,0.9900569915771484,36.168575286865234,8.80368947982788,17.234277725219727,100,0,100,1,LSOA_01,Camden 008B,1_Least Deprived (Inner London),31192,E09000007,10,0.018,32407,10,0.012,32701,10,1.094,31917,10,-2.291,32757,10,-0.686,26068,8,16.752,20748,7,29.53,9082,3,-1.8082544715387596,-5.901145565735531,2.675322547081811,1
E01002714,Islington,1,12.881843513912624,14.035,1,100,11.304076512654625,11.069959775147955,0.03194808959960937,56.37515385945638,3.3331950505574546,19.59504286448161,94,6,94,2,LSOA_02,Islington 017D,1_Least Deprived (Inner London),19913,E09000019,7,0.078,19837,7,0.053,23754,8,5.843,26334,9,-0.536,23872,8,0.261,12539,4,25.392,10753,4,37.528,5154,2,-0.9694525204865886,-6.536333562493887,2.6305817642643605,1
E01004073,Southwark,1,28.88630020904541,8.556,2,100,27.05047925313314,12.66696205212973,6.263446807861328,62.72516250610352,20.096667607625328,39.522782961527504,100,0,100,3,LSOA_03,Southwark 031C,1_Least Deprived (Inner London),26350,E09000028,9,0.061,23518,8,0.034,29697,10,0.696,32346,10,-0.922,28167,9,-0.147,18841,6,17.929,19223,6,35.61,5967,2,-1.4424656832917395,9.468123132638897,3.3974001884084606,1
E01004553,Wandsworth,1,28.69899366920377,11.274,2,100,20.825355623975213,27.907577716982377,0.01777013142903646,98.71352513631186,4.75450356801351,42.66042709350586,84,16,84,4,LSOA_04,Wandsworth 015A,1_Least Deprived (Inner London),23022,E09000032,8,0.064,22879,7,0.04,27826,9,1.727,31187,10,-0.411,22268,7,0.519,8794,3,23.69,12447,4,27.781,10087,4,-1.2078152404181495,9.280816592797258,3.391113162042813,1
E01001718,Hackney,2,10.095750013987224,20.149,1,100,5.969921747843425,9.99797533387306,0.02768834431966145,39.235877990722656,1.281881332397461,18.150560061136883,92,8,92,5,LSOA_05,Hackney 007D,2_Less Deprived (Inner London),14212,E09000012,5,0.072,21074,7,0.038,28432,9,4.731,27637,9,-0.293,20545,7,1.098,2824,1,39.694,2290,1,44.58,2999,1,-0.441618522057917,-9.322427062419287,2.406562153377632,2
E01003134,Lambeth,2,46.63836987577839,19.56,2,100,44.564056396484375,12.735941103605269,17.508729298909508,76.480865478515625,38.20451100667319,53.33682966820987,100,0,100,6,LSOA_06,Lambeth 027D,2_Less Deprived (Inner London),14757,E09000022,5,0.122,13483,5,0.086,15074,5,7.321,24689,8,0.055,15163,5,0.408,10319,4,23.633,12514,4,34.957,6261,2,-0.4924680845496554,27.220192799371876,3.863638526348735,2
E01003262,Lewisham,2,35.226305972911696,19.131,2,100,29.484488781587576,18.55393682243563,3.499190012613932,75.99089940388998,22.519413630167648,43.78270308176677,100,0,100,7,LSOA_07,Lewisham 021E,2_Less Deprived (Inner London),15134,E09000023,5,0.109,15084,5,0.078,16879,6,4.809,27540,9,-0.145,18301,6,0.228,13063,4,31.281,6099,2,39.183,4554,2,-0.5295045231047584,15.808128896505185,3.5897855392590854,2
E01004519,Wandsworth,2,6.020015716552734,16.635,1,100,6.032800674438477,3.09018421974642,0.8954048156738281,18.62177848815918,3.884315490722656,7.983815670013428,100,0,100,8,LSOA_08,Wandsworth 036C,2_Less Deprived (Inner London),17332,E09000032,6,0.116,14140,5,0.064,20385,7,6.404,25714,8,-0.311,20814,7,0.246,12776,4,26.707,9556,3,33.615,6887,3,-0.7449892565162669,-13.398161359853777,1.9487654568603894,2
E01001646,Greenwich,3,19.582526524861652,25.032,1,100,18.04375648498535,10.460348094318917,2.1976470947265625,68.38397979736328,13.640817006429035,22.606229782104492,100,0,100,9,LSOA_09,Greenwich 019A,3_Average (Inner London),10745,E09000011,4,0.188,7423,3,0.101,12372,4,14.452,17789,6,0.037,15440,5,-0.202,19658,6,42.743,1480,1,16.37,18081,6,-0.020059245916732412,0.1643494484551411,3.024442488899034,3
E01002794,Islington,3,12.082870776173811,22.216,1,100,9.132220080166046,11.545740390487722,0.01892036815812337,52.24291207374022,3.3436176411252663,15.439001974630038,94,6,94,10,LSOA_10,Islington 020B,3_Average (Inner London),12607,E09000019,4,0.118,13959,5,0.078,16885,6,7.441,24549,8,0,16023,5,0.824,5174,2,26.061,10124,4,46.461,2562,1,-0.26317022720151134,-7.3353063002327,2.5713038002479642,3
E01003182,Lambeth,3,14.021080706278482,26.612,1,100,8.984788258870443,12.280055891854348,0.02942708333333333,47.58564631144206,3.8109811147054033,22.16912110646566,96,4,96,11,LSOA_11,Lambeth 009D,3_Average (Inner London),9827,E09000022,3,0.164,9326,3,0.121,9595,3,11.864,20072,7,0.04,15397,5,0.537,8578,3,32.028,5637,2,37.474,5183,2,0.11634535295753977,-5.397096370128029,2.709454594897994,3
E01004234,Tower Hamlets,3,29.27602485162241,24.249,2,100,25.175166377314817,20.701093362418685,0.5249500274658203,92.26790364583334,12.143504619598389,43.81120695891204,100,0,100,12,LSOA_12,Tower Hamlets 003E,3_Average (Inner London),11218,E09000030,4,0.112,14721,5,0.064,20450,7,2.713,30076,10,-0.349,21438,7,1.913,282,1,23.131,13070,4,52.187,1549,1,-0.0876572211816409,9.857847775215898,3.410356140282309,3
E01001701,Greenwich,4,18.776863000275256,29.43,1,100,17.093594868977863,13.20267500663087,1.1442184448242188,74.80005130859021,9.7675323486328125,23.10924530029297,100,0,100,13,LSOA_13,Greenwich 015C,4_More Deprived (Inner London),8286,E09000011,3,0.167,9064,3,0.116,10231,4,14.381,17844,6,0.716,6719,3,0.534,8623,3,41.282,1839,1,22.667,13363,5,0.3596289982915269,-0.6413140761312555,2.984512719091101,4
E01002729,Islington,4,8.880723334231822,31.027,1,100,4.849648475646973,10.408345211353591,0.00849971064814814,40.39027713672893,1.8471002578735352,11.203015380435518,95,5,95,14,LSOA_14,Islington 021E,4_More Deprived (Inner London),7539,E09000019,3,0.186,7605,3,0.159,5774,2,7.445,24542,8,-0.079,17253,6,0.703,6469,2,24.118,12017,4,56.134,1051,1,0.4975012415840668,-10.537453742174689,2.290585721046695,4
E01002906,Kensington and Chelsea,4,27.78206729888916,33.044,2,100,27.164745330810547,14.47489827886618,0.02183914184570312,68.3603286743164,16.22472604115804,38.760526974995926,99,1,99,15,LSOA_15,Kensington and Chelsea 002C,4_More Deprived (Inner London),6647,E09000020,3,0.21,6079,2,0.158,5859,2,12.324,19639,6,0.406,10240,4,0.217,13229,5,40.016,2184,1,35.634,5959,2,0.6716329352102736,8.363890222482649,3.3597525299736257,4
E01004720,Westminster,4,8.605509440104166,32.043,1,100,5.627600351969401,7.976537635039815,0,29.795583089192707,1.331003506978353,13.760550816853842,97,3,97,16,LSOA_16,Westminster 004C,4_More Deprived (Inner London),7066,E09000033,3,0.23,4985,2,0.152,6337,2,19.59,14025,5,-0.051,16807,6,0.616,7503,3,24.141,11997,4,42.833,3446,2,0.5852145785817,-10.812667636302345,2.2623368338670096,4
E01001944,Hammersmith and Fulham,5,11.020136192712858,43.021,1,100,6.941823685925282,12.325535786861948,0.0239262054735013,43.285772222523896,0.7729034026118592,17.62510775276933,72,28,72,17,LSOA_17,Hammersmith and Fulham 004B,5_Most Deprived (Inner London),3478,E09000013,2,0.304,2074,1,0.232,1823,1,14.852,17460,6,0.624,7667,3,-0.222,19930,7,42.535,1532,1,26.176,11055,4,1.532967544684081,-8.398040883693653,2.4865832595514292,5
E01002732,Islington,5,16.688647429148357,47.055,1,100,12.7882719039917,15.453916503602985,0.0316937764485677,75.90862909952799,3.8138389587402344,22.27464914321899,93,7,93,18,LSOA_18,Islington 005A,5_Most Deprived (Inner London),2650,E09000019,1,0.291,2481,1,0.22,2255,1,23.439,11648,4,0.959,4549,2,1.373,1448,1,31.405,6026,2,29.832,8915,3,1.881230931936495,-2.729529647258154,2.87292304561868,5
E01003066,Lambeth,5,20.34073416392009,37.398,1,100,9.577290217081703,24.2313300045609,0.02040863037109375,97.31454849243164,1.3700882593790689,29.407262802124027,84,16,84,19,LSOA_19,Lambeth 028B,5_Most Deprived (Inner London),5079,E09000022,2,0.228,5090,2,0.151,6474,2,14.712,17575,6,1.058,3811,2,1.191,2285,1,28.67,7911,3,34.282,6560,2,1.0475225703359587,0.922557087513578,3.060617648464591,5
E01004757,Westminster,5,19.34174732784931,40.501,1,100,17.322969436645508,12.599366394812048,0.08480227791051259,45.30940055847168,9.330642223358154,28.964853286743164,97,3,97,20,LSOA_20,Westminster 010C,5_Most Deprived (Inner London),4110,E09000033,2,0.321,1648,1,0.206,2859,1,19.094,14331,5,0.241,12485,4,0.358,11051,4,24.912,11215,4,39.957,4273,2,1.3154108426820768,-0.07642974855720297,3.0126752929213305,5
